no,text
393,Hero team mãi_mãi là hạng nhất sao so_sánh với hero team được :dấu_tích_xanh:
394,sau khi nghe những bài hát của top1 ca_sĩ quốc kang thì tôi thấy bài này hay vãi cả lúa: ) ) ) )
395,Chi pu đầu_tư cũng kĩ_lưỡng đó chứ? không thua gì Hồ_Ngọc_Hà! phần hát thì không hay cho lắm: ) ) chỉ được cái mv nhìn thôi
396,Chị hãy cố_gắng lên em Luôn ủng_hộ chị Chị nhé
397,Vậy là chúng_ta mãi_mãi không thuộc về nhau :nháy_mắt: :nháy_mắt:
398,"tại_sao tôi không bấm được không thích, chẳng_lẽ nhiều người bấm quá nên hư moẹ rồi?"
399,giờ mới biết sơn tùng không_những là VẬY. I. P mà_còn lai ARMY = ) ) ) )
400,"Để_ý. hôm_nay lượt lượt xem bên mình tăng chậm cái, bống bống bang bang cũng chậm hẳn theo"
401,"KHÔNG_THỂ_NÀO, TẠI_SAO LẠI ĐỂ TỐC_ĐỘ không. 85x LẠI HAY HƠN HAY DO TAI TÔI!!!!"
402,"Mình không biet sao ma các ban lai chê, nhung doi voi mình bai nay hay ma.. các ban gato voi chi pu ak.. ai cung Co uoc mo ma.. ma các ban thay ai moi di hoc ma da thuoc hêt ban chư cái lien không?.. ma chi pu cung Co hát may bai ma.. den luc HT dang stt các ban lai hùa theo.. thư các ban dưng trong hoàn canh nhu chi pu xem.. chi pu moi chuyên qua lam ca_sĩ ma các ban lai hùa theo người gato... chi pu làm ca_sĩ hay không Co liên_quan gì toi cuoc song cua may ban ak.. hay các ban hùa theo HT rôi Co tiên ak.. mong các ban suy nghi lai xem các ban lam vậy Co dung hay la không.."
403,Cô ngân vừa siêu dở tệ vừa yếu_đuối chỉ giỏi chơi game còn nhiêu dở hết
404,dù có soi đi nửa vẫn thích xem và nghe nhạc của sếp
405,úi. nhạc đây mà em xem nhầm MV hay sao đấy mọi người à. :mặt_ranh_mãnh:
406,Chúng_ta không thuộc về nhauChúng ta không thuộc về nhauChúng ta không thuộc về nhau...... SKY oiiiiiiiiii... say oh yeahhhhhhhh
407,"Như video của Trúc_Xinh_Bên_Bờ, lượt dislikes quá khủng"
408,"mèo sim My, và sam My đào đáng yêu quá. :mặt_thiên_thần: :mặt_thiên_thần: :cười_đỏ_má: :cười_đỏ_má: :mắt_trái_tim: :mắt_trái_tim: :hôn_gió: :hôn_gió: :mèo_mắt_trái_tim: :hai_trái_tim: :mặt_thiên_thần:0 :mặt_thiên_thần:1 :mặt_thiên_thần:2 :mặt_thiên_thần:3 :mặt_thiên_thần:4 :mặt_thiên_thần:5"
409,video có 80. 355. 877 lượt xem.... Lũ sky còn moq cày tới 100trview... ATSM ghê quá sky à...
410,trách ai bây_giờ đây. bài hát không thuộc tùng: )
411,Các anh_chị rap hay quá chúc anh_chị sớm đặt được một_triệu sub
412,MV này thấy Chi_Pu đã cố_gắng cải_thiện giọng rồi. Nhưng có_lẽ Chi phù_hợp với nghề diễn và mẫu ảnh hơn là ca_hát. Giọng Chi không nổi_bật như những ca_sĩ khác. Cố_gắng nhưng không phải trong khả_năng của mình thì khó thành_công được
413,Đến đây vì thấy chị Tràm đăng status chê Chi hát dở
414,Hứ con chó chipu lúc trước còn được được nay dám so với tràm với kpop ầ mày mơ đi Việt_nam còn chưa trội lên mà đồ so_sánh với ai mày giải_nghệ dùm đi
415,"không phải là fan hay anti của MTP. Đã từng không ưa cái vẻ nhí_nhố của M TP... nhưng thật lòng mình thấy, bài này KHÔNG 1 CHÚT LIÊN_QUAN đến we don ' tôi talk anymore ( bài mình rất thích )."
416,Chị À Cố_Lên_Em_Không Phải_Fan_Chị_Đâu Nhưq_Chị_Cứ_Thấy Mà Xem Ai_Mới_Vào_Ngề Mà Dân SNS Nó_Chẳq_Chửi... Cố_Lên_Nhé_Bài Hát_Không_Đến_Nổi Tệ_Đâu.
417,1 sp âm_nhạc mà dis > thích thì là ntn ạ. Hiểu hiểu. Nhưng mày thấy CP nhảy đẹp chứ nhỉ
418,"Hương_Tràm, không có nhắc đến tên cp trong stt nhé, đừng có nói Tràm này Tràm nọ nữa,.. Mà dù có nói thì vẫn thấy stt của tràm nói đúng, cả tiên tiên cũng đăng stt nữa đó, nói đúng chứ sai gì"
419,sự thất_bại của 1 thằng cuồng_dâm làm búp_bê td • ﹏ •
420,"Thề luôn lần nào nghe củng nổi da_gà,: ) )"
421,gọi chi pu là ca_sĩ đúng là xúc_phạm các ca_sĩ khác
422,"Clip này là đang quảng_cáo cho sản_phẩm gì ấy nhỉ, xem từ đầu tới cuối cũng không hiểu, cứ ồ ố ô rồi hết"
423,"MV mời vào nhìn là thấy giống CRAYON, câu "" Chúng_ta không thuốc về nhau "" thì giống We don ' tôi talk anymore"
424,Chúng_ta luôn thuộc về nhau ( SKY U70 )
425,"ai viết lời bài hát cho toi đi mọi người oiii, ảnh đỉnh quá nên tôi không hiểu gì = ) ) )"
426,1 luot lượt xem là coi bao_nhiêu s mới được or hết mv luôn
427,Thảm_hoạ..... hát cứ như đọc rap hương tràm nói rất đúng. kiểu này không thích hơi bị nhiều. hhhhaha
428,"Khoá mõm đi mấy đứa ơi... sủa nhiều công_an bắt đấy, sủa hoài đéo ngứa à, theo phong_trào à mấy cưng.... chúng_bay hát hay quá hát thế Chi đi mở mồm nhận_xét > < thấy đừng cmt mất_công... https: / / www. facebook. com / quetran. huynhngoc. 9 facebook tôi đó vô ib tôi rep hết cho ^ ^ anti à, vô tôi ns cho bt vài thứ nhé, đừng sủa bậy"
429,anh cover rất hay và cắt ghép nhạc rất sáng_tạo
430,"giai_điệu hay, nhma lời thì chưa ổn lắm :cười_toát_mồ_hôi:"
431,nghĩ sao mà cô ngân với simmy lại đi so_sánh ^ ^
432,WTF bọn anti tự_nhiên đi chửi liên_quan vãi cả lúa kiểu gato ý vãi em chẳng phải fan hay_là sky nhueng cũng đừng nên nói người ta thế
433,Ủa đó là bài hát Hàn được 2 người nào bên Hàn đó sáng_tác rồi được dịch ra tiếng Việt chẳng_lẽ nhạc Hàn không hát kiểu đó chắc đi hát bolero như VIỆT_NAM quá vậy động_não chút đi nếu_như hát tiếng Hàn thì có_lẽ nó sẽ khác còn hát lời Việt thì dĩ_nhiên nó không giống với Hàn rồi chắc tại dư_luận quen cái kiểu là người việt hát nhạc việt không có biết gì về nhạc khác... Bản_thân tôi không thấy hát dở chỗ nào chắc có_lẽ bị mất nhận_thức rồi haiz. Không bao_giờ tránh khỏi được cái mồm của dư_luận từ xưa tới giờ vẫn vậy_mà thích số đông hùa theo số đông chứ đéo biết nghe và động nào. Ý_kiến cá_nhân gạch_đá cứ ném
434,mai cố 10 trời lượt veiw đi fan với anti fan < 3 < 3 < 3
435,Hai ông bị Kairon với toàn tây bị vào tù anh :lăn_ra_cười: :lăn_ra_cười: :lăn_ra_cười: :lăn_ra_cười:
436,chị chỉ hát hay mà sao mọi người quá_đáng vậy??? người ta đam_mê thì làm thôi chứ không phải mục_đích la để kiểm tiền...
437,Hay ma. Sao lai cu muon de nguoi khac nhi. Hay phan biet dang cap ha. Hay hon thanh tuyen chua hay dim hang nguoi khac. Thanh tuyen cung chua bao gi la ca si tu truong lop ca. Ai co chat gionh hay thi la hay. Toi không thich cach dim hang cua huong tram. Huong tram nen biet minh la ai va dung không dau. Huong tram cung chi la ado thoi. cung chang phai nhac si hay la_gi ca. Ma cho du huong tram co hat hay hon chi pu cung không nen noi ra nhung dieu vo ly nhu vay. Ban không co quyen nhu the.
438,CHIPU CỐ LÊN! MONG LÀ BẠN SẼ ĐỌC ĐƯỢC CMT NÀY
439,"Nghe cái tên là biết không phải người VIỆT_NAM. Chi_Pu, cường seven, Gil... Là cái gì không hiểu"
440,"Anh Gao_Bạc hét chọt được cả RUOK ff, BROKEN ff hả"
441,"EM vừa về nhà sau 1 ngày đi làm mệt_mỏi, lướt youtube để có thêm động_lực thì vô_tình va vào bài hát của anh. Có_thể nói bài hát của anh là 1 nguồn động_lực to_lớn đối_với em, cảm_ơn anh vì đã giúp em nhận ra chỗ làm của em chưa phải là nơi tồi_tệ nhất"
442,Phần nhìn thì được nhưng phần nghe không bắt tai lắm. Sản_phẩm chính_thức đầu_tiên này. Chúc chị thành_công hơn_nữa.
443,Không byt bài này mà hát live THY thế_nào nhỉ
444,hay lắm anh tùng ơi! luôn ung hộ anh!! _ 333
445,Đa_số lũ không thích la kiểu gato gắng lên công_chúa nana
446,Hero taem simmy và sammy rap ngau nhat phong và anh vịt rap ngau kairon đep trai và taem hero đep trai nhat :cười_đỏ_má: :cười_đỏ_má: :cười_đỏ_má: :cười_đỏ_má: :cười_đỏ_má: :cười_đỏ_má:
447,đỹ mẹ mém bị điếc luôn cũng may nhờ anh dách giải_cứu không là thấy mụ nội rồi
448,chị simmy hát trầm_cảm hả. nhưng hero team rap vẫn hay nhất.
449,hay quá đi anh tùng ak đừng để_ý đến những người gato với anh nhé! SKY LUÔN Ở BÊN CẠNH ANH: - ): - ): - ) mãi như ngày hôm_qua
450,"Tôi có thằng bạn bị câm bẩm_sinh thật bất_ngờ khi cho nó nghe bài hát này xong tự_nhiên nói nói được câu đầu_tiên nó nói là "" nó muốn chửi thề "": ) )"
451,"Lạc trôi chỉ còn 2M nữa là được 200M rồi, ae cố lên nghe"
452,"cảm_ơn anh, bạn em bị liệt chân giữa, từ khi nó nghe nhạc của anh nó như con mãnh_thú xổng chuồng thèm_khát con mồi. Thật_sự cảm_ơn anh!"
453,mặt không đến_nỗi mà cái nhạc nó tục vãi cả lúa luôn anh ơi
454,35phút mà tăng 260nghìn lượt xem :cười_ra_nước_mắt: :cười_ra_nước_mắt: Lượng_Thích và Không thích ngang_ngửa nhau :cười_ra_nước_mắt: :cười_ra_nước_mắt: Chắc cũng nhiều antifan lắm :hôn_gió: :vỗ_tay: :vỗ_tay:
455,mỗi 1ngày 1triệu thôi sky nhề :le_lưỡi_nhắm_mắt: :le_lưỡi_nhắm_mắt: :le_lưỡi_nhắm_mắt: :le_lưỡi_nhắm_mắt: :le_lưỡi_nhắm_mắt: :le_lưỡi_nhắm_mắt: cuối tháng con_số sẽ khủng thôi ha :vỗ_tay: :vỗ_tay: :vỗ_tay: :vỗ_tay: :le_lưỡi_nhắm_mắt:0 :le_lưỡi_nhắm_mắt:1 :le_lưỡi_nhắm_mắt:2 :le_lưỡi_nhắm_mắt:3 :le_lưỡi_nhắm_mắt:4 :le_lưỡi_nhắm_mắt:5 :le_lưỡi_nhắm_mắt:6 :le_lưỡi_nhắm_mắt:7 :le_lưỡi_nhắm_mắt:8 :le_lưỡi_nhắm_mắt:9 :le_lưỡi_nhắm_mắt:0 :le_lưỡi_nhắm_mắt:1 :le_lưỡi_nhắm_mắt:2 :le_lưỡi_nhắm_mắt:3 :le_lưỡi_nhắm_mắt:4 :le_lưỡi_nhắm_mắt:5 :le_lưỡi_nhắm_mắt:6 :le_lưỡi_nhắm_mắt:7 :le_lưỡi_nhắm_mắt:8 :le_lưỡi_nhắm_mắt:9
456,sau bao_nhiêu sự dũng_cảm và sự động_viên của thằng bạn thì tôi cũng đã nghe bản_nhạc này = ) ) ) )
457,Hay kinh_điển. Hay tiêu_tan lịch_sử: 3 Cố lên sếp: 3
458,"Tôi biết là Tùng có nhiều anti fan lắm, cộng thêm nhiêu scandal nữa nên mới nhiều người không thích Tùng. Nhưng theo cá_nhân tôi thì vẫn ủng_hộ anh ấy vì có ai mà hoàn_hảo chứ."
459,cảm_ơn anh vì đã sáng_tác bài hát này. bật lên mà tôi đuổi hết được chuột gián bọ :trái_tim_đỏ:
460,"Vui quá mọi người ơi mv ctkttvn của Tùng vừa được vinh_danh bên hàn_quốc đó, tự_hào quá_chừng luôn."
461,xem bình_luận của bọn anti mà buồn_cười quá. công_nhận cuộc_sống như_vậy nó mới vui
462,bài đã chưa lành cho đôi tay bị tật của tôi vì tôi đã phải dùng tay tắt no đi
463,"Bài hát quá hay nhé Tùng cảm_xúc quá hay, hình_ảnh đẹp quá ấn_tượng và sâu_sắc: )"
464,"Trời.... nhạc gì của bà chi ra hay quá, nghe đi nghe lại quài không chán, mấy người nào mà không thích nghe mà bấm vô cũng tăng 1 lượt lượt xem nữa á, cám_ơn mấy người ghét bả mà bấm vô nghe nhé"
465,Nghe chay ngay đi moi thay bài này vân con hay.. nghe mà rót vô tay từng chữ.. con chay ngay đi như bi tra tân_lô tay ây
466,Gạo bạc không có tuổi với tôi Nếu gao bạc không sợ Thì ngon solo phi phai 1v1 :đeo_kính_mát: :đeo_kính_mát: :đeo_kính_mát: :đeo_kính_mát: :đeo_kính_mát: :đeo_kính_mát: :đeo_kính_mát: :đeo_kính_mát: :đeo_kính_mát:
467,"Chúng_ta không luộc được rau, chúng_ta không luộc được rau.... Nghe nhàm vãi shit: vậy"
468,thằng bạn em ngồi xe_lăn nghe bài anh nó phải đứng dậy mà tắt nhạc cảm_ơn anh nhiều 3 >
469,còn ai vẫn bánh_cuốn hình_tượng này không nhỉ
470,Ước gì chú Nguyễn_Đình_Vũ được đẹp_trai như ANH tùng thì phải tốt không
471,hic sao mà cứ spam nhau vậy mất hết thể_diện nhục nhục quá_khổ việt_nam quá
472,Pickleball bình_thường: đây chỉ là 1 môn thể_thao Pickleball made by anh Đỗ: thảm_hoạ thế_giới
473,tôi xin được phép cân all lũ sky ' ss được không nhỉ???
474,"mình thấy bài này hay mà = ) ) chỉ là hát còn hơi kém, nhưng so với những bài trước thì cũng có tiến_bộ hơn. Cơ_mà chắc phải đợi live mới biết có tiến_bộ thật hay không: ) ) được cái lần này đội_ngũ makeup được quá chứ, makeup đoạn cuối đẹp khủng_khiếp ; w ; Chipu makeup kiểu này hợp hơn là makeup teen teen"
475,Chi_Pu nên bắt_đầu 1 bản ballad buồn có_lẽ sẽ đi vào tim người nghe hơn
476,Lượt thích đang tăng trở_lại kaka. Nghe nhiều là nghiện đó mấy mẹ :trái_tim_đỏ:
477,"1: 27 biểu_cảm không chê đi đâu được, cố lên tùn ơi,"
478,Nghe xong tha đi nghe nhạc chế còn hơn. Nhàm_chán. Giọng hát tạo cảm_giác ghê roẹn cho người nghe. Mong đừng ra MV ghê_rợn như_vậy nữa.
479,chung ta không thuoc ve nhau noi di noi lai ca tram nan @ @
480,Thành_tích lớn nhất đời người không phải thành_công từ hai_bàn_tay_trắng... mà là nghe hết cái thảm_hoạ âm_nhạc này bản remix 1h :say:
481,"Có ai sau khi nghe siêu Shayda "" rap "" rồi vào đây xin_lỗi anh Quí không ạ?"
482,giọng chị hay mà s ai cũng ns không hay vậy??? Chị cố_gắng lên nhé chị
483,kệ cha bây. tôi chỉ thấy hay. tôi nghe. còn bây rảnh cứ sủa. tôi không phải la sky. nhưng ngứa_mắt với lũ rác rưỡi.
484,oh my gút hay chất_ngất người lun thích mv của chị chi pu quá
485,mv hay quá thích thích. nên ra nhiều mv mang tính gây nghiện này nhiều hơn_nữa
486,"Mình rất ủng_hộ ý_kiến của thuỳ minh, biết_đâu bạn ấy lại có cái duyên với nghề thì sao, dù_sao thì đàm vĩnh_hưng cũng đã có một thời bị chê là không bao_giờ làm được ca_sĩ mà, với cả bà hari won mà chả hát chả ra gì. ai biết tương_lai thế_nào đâu. Vì_thế nên_chi cố lên nhé, mong chi có_thể thay_đổi cái nhìn của mọi người."
487,tôi cũng lậy bà bà ngồi ngay_ngắn thẳng_thắn tôi vái bà bố vái hát nhạc_sống hà_tây hay nhạc đám_cưới thỳ rất fire
488,"Sao thấy nhiều người chê quá vậy. Mình thấy hay mà, nhạc cũng cuốn_hút, giọng của Chi_Pu cũng không phải quá dở. Dù_sao đây cũng là sản_phẩm đầu_tiên, không nên quá khắt_khe như_vậy."
489,trời_ơi ôg tùg sao càg ngày càg đz và hát vậy trời. huhu.
490,"Bỏ_qua việc có dont talk any more hay không, MÀY thật_sự không_thể xem tiếp được với biểu_cảm của cậu này, giả giả, không tới đâu hết."
491,hay quá sếp ơi bài này nghe mãi không chán bài này không giống we don talk anymore đâu còn hay hơn nhiều nữa :cười_đỏ_má:
492,169k không thích toàn những đứa ganh tỵ và phu nhận sự thành_công của người khác.... Hè hè
493,Chị hát hay quá. Em cảm_thấy bối_rối quá. Ahihi.
494,Coi bài này có ai hiểu được cốt_truyện không?
495,mình không hỉu lắm về MV này ai dịch hộ mình với
496,"vầng mấy p anti rất đúng. chúng_tôi sai, chúng_tôi trẻ trâu. :cười_đỏ_má: :cười_đỏ_má: :cười_đỏ_má: Do ai Trách ai bây gìơ đây Chúng_ta không thuộc về nhau Năng lựơng bầu_trời biên hình"
497,Bài hát tệ quá. Được mỗi hình_ảnh vớt_vát lại
498,Lý_do bạn không thích bài hát là gì????? Nghiện rồi còn ngại.
499,Rất thích Trang_Pháp nhưng vì Chi_Pu mà tôi quá thất_vọng
500,nhìn sky nhiều khi tưởng GD hay TÔI. KHÔNG. P. nhưng vẫn thích sky
501,Thích 8K Dílike 4k Gắng mà vượt Link_Kak đi
502,Diễn nhìn không được tự_nhiên về giọng hát thì không có gì đặc_biệt... chúc chị sẽ ra được nhiều sản_phẩm tốt hơn_nữa :cười_dịu_dàng: ️
503,mou nguoi dug ua theo phong trao ma che chi pu du zay. bai hat rat hay rat dep tou xem ca chuc con chua chan
504,"Thấy mọi người nói về st nhiều quá. Không phải fan nhưng hầu_như mình luôn nghe nhạc của cậu ta, phải nói là rất hay. không cần biết là ntn, chỉ cần có bản_nhạc hay là ok. thanks"
505,Sơn_Tùng_MÀY - TPuth. Sơn_Tường_MÀY - TP. Sơn_Tùng_Mượn_Tác Phẩm_Quẩy ' ss lên ' ss sky ' ss ơi ' ss
506,tuyệt_vời quá hy_vọng cuối ngày được 3tr lượt xem < 3
507,không phải anti cug không phải fan: mv nhạc mà như phim kinh_dị = ) ) đề_cử mv kinh_dị nhất việt_nam = ) )
508,"Vừa làm gaming vừa làm rapper hay sao ý, chuyên_nghiệp ghê ấy"
509,Chị ơi cho_dù ai nói gì cũng kệ họ Chị hát hay cũng có khuyết_điểm Chả ai hoàn_hảo cả chắc_chắn trong tương lại chị sẽ thành côg Cố lên :trái_tim_đỏ: ️ :trái_tim_đỏ: ️ :trái_tim_đỏ: ️
510,TÍNH RA HERO HÁT CÓ TÔNG ĐỈNH HƠN NHIỀU :rock:
511,đúng là bài hát quá dở. nhưng vẫn cảm_thông vì cô này không có scandal.
512,Tại s vậy chứ Pu hát hay vậy_mà 255N người không thích video của Pu s lạ vậy :kiên_nhẫn: :kiên_nhẫn: :kiên_nhẫn: nhg em sẽ ủng_hộ cho Pu ( chị Pu cố lên ) :cười_toe_toét: :cười_toe_toét: :cười_toe_toét: :cười_toe_toét: :cười_toe_toét: :cười_toe_toét: :hôn_gió: :kiên_nhẫn:0
513,Nhạc hay giốg với tên tối vậy Nguyễn_Viết_Huy đẹp zai: vậy
514,"Thời_buổi bây_giờ chỉ cần đẹp là nổi_tiếng, tài_năng không là cái qq gì hết, mình thật_sự không hiểu ngoài chụp hình ra thì tài_năng của Chipu là gì, cô ấy đã làm được gì mà mọi người hâm_mộ thế ngoài trừ đẹp ra."
515,"Cảm_ơn Đỗ_Phú_Quí rất nhiều! Nhờ có bài hát của anh, con của tôi đã có_thể ăn nhanh hơn qua lời doạ bật PickleBall của bạn để nghe :thích: :thích:. Nhờ vậy con tôi không_những ăn nhanh hơn, mà_còn ngoan hơn. Đa_tạ cảm_ơn rất nhiều"
516,ST ơi đừng có học theo phong_cách của DG được Không_Vip Không thích đâu
517,"đang tắc khúc ruột may quá lướt phải, lòi tòi phòi luôn"
518,uầy Cô Ngân với mèo Simmy rap hay thật đấy. còn timmy với kammui rap giọng gắt nó ms hay làm_sao
519,MV đẹp bắt_mắt. Nhạc hay nhưng lời tệ quá
520,Mình không phảu là fan của chi.. nhưng hay theo giõi chị ấy. Nhưng chi làm ca_sĩ koa đụng_chạm gì tới tổ_tiên mấy bạn đâu. Mà mấy bố mấy mẹ nhãm nhãm hoá vậy
521,Cũng không tệ đâu chị: ) khởi_đầu như này là thành_công rồi: ) ) cố_gắng phát_huy ạ
522,Bài này phải đặt tên là.. Chúng_ta không nói_chuyện với nhau nữa.. :cười_dịu_dàng: ️
523,Cám_ơn 1 bài hát tuyệt cà là vời Hôm_qua mình bị táo_bón ngồi tolet rặn mãi không được :khóc: Cái mình lấy điện_thoại ra mở bài hát này lên nghe được nửa bài thì hiệu_quả bất_ngờ không_tưởng. mình đang tôi bón cái tự_nhiên ỉa_chảy luôn thật là thần_kì.
524,KHÔNG thích thì thôi làm gì mà chỉ chích người ta dữ vậy
525,Sao minh mun nghe bai nay hoai van không chan
526,Happy_Birthday_CHÚNG_TA KHÔNG THUỘC VỀ NHAU de de
527,Vãi nghe bài nhạc này cái người chết thành người sống
528,"Sau khi nghe bài này thằng bạn bị bại_liệt bẩm_sinh đứng dậy tắt nhạc cám_ơn chị mèo simmy đã chữa khỏi căn_bệnh quái_ác của thằng bạn em, chân_thành cảm_ơn chị rất nhiều. :trái_tim_đập: :trái_tim_đập: :trái_tim_đập: :trái_tim_đập: :trái_tim_đập: :trái_tim_đập: :trái_tim_đập: :trái_tim_đập: :trái_tim_đập: :trái_tim_đập:. yêu HERO team"
529,Xin_lỗi nhưng giọng chị chưa đến mức làm ca_sĩ đâu. Đừng lấn_sân please hãy làm diễn_viên thôi chị nhé
530,"Chúng_ta không luộc được nhau Chúng_ta không nợ tiền nhau Chúng_ta không luộc được rau EM hãy cứ đi, phun thuốc, trừ sâu ầu Giấc mơ ta đi luộc rau Trái_tim không luộc được đâu Xoá đi, những gì thuộc về rau ANH lỡ xoá luôn trái_tim, và rau rồi Chúng_ta không thuộc về nhau Chúng_ta không thuộc về Chúng_ta không thuộc về nhau Chúng_ta không thuộc về.. Chúng_ta không kịp về, đâuuuu KHÔNG Kip luộc rau KHÔNG kịp về đâuu ô trễ rồi ô ôi.... = ) ) ) )"
531,"Thật cảm_ơn fai fai vì bạn tôi đang trong hòm bỗng nhưng nhạc được bật lên, bạn tôi bỗng_dưng bật dậy tìm thằng bật, thật cảm_ơn fai fai"
532,Đoạn đầu_tiên nghe giống đặc we don ' tôi talk anymore
533,bài này phải vượt mặt vợ người ta mới được
534,hôm_qua mới 1 triệu hôm_nay đã lên 4 triệu rưỡi lượt xem rồi
535,Em thích hero em gét zêro em gét cô ngân nhất: ): (!!!!
536,"Hay thật thì cứ nhận đi. Ghen_tị linh_tinh. Không hot mà 4,, 5 trieu luot lượt xem mới hơn 1 ngay à :suy_nghĩ: :suy_nghĩ: :suy_nghĩ: :suy_nghĩ: :suy_nghĩ: :suy_nghĩ:"
537,"Ai chọn tóp cô ngân dơ tay, tóp 2 tôi không bao_giờ chọn"
538,bài hát này đã khiến các bệnh_nhân của tôi được chữa khỏi khi nghe bài này rất cảm_ơn bạn :trái_tim_đỏ: :trái_tim_đỏ: :trái_tim_đỏ:
539,Cảm_ơn bạn tác_giả nhé nhờ bài hát này nó đã giúp mình từ lãng tai sang bị điếc cmnr :trái_tim_đỏ:
540,"ĐỜ MỜ tôi thề bọn không thích có 3 loại: - gặp cái đéo gì cũng không thích - chúng_nó không hâm_mộ Chipu và nghe thấy nhảm, hùa theo bọn khác nói_xấu không thích theo - cái cuối là đúng cmnđ: fan Hương_Tràm vào không thích, nhưng cái gì có qua cũng có lại, cứ dis nh vào, nó lại tăng lượt xem"
541,không thích hay thích cũng được nhug miễn_là nghe hết nhé: vậy
542,TÔI không ghet Chipu nhưng công_nhận hát như cờ cờ = ) ) )
543,vãi cả lúa xoá cmt chê thì bố mày cũng đến quỳ.... sống thực_tế hơn đi bạn trẻ à
544,Hoà_âm phối_khí bài này là của Tripple_D có trách thì trách ổng sao trách ST: ) Ngộ thật?
545,tôi thấy cái câu chúng_ta không thuộc về nhau kiểu chiếm 70 % bài hơi thất_vọng
546,"MV hát thế_này thì ngoài live nghe chắc không_thể ổn được. Bản_thân mày thấy chipu hợp làm_gương mặt quảng_cáo chứ MC, diễn_viên và hát đều không ổn"
547,"Không biết mọi người thấy tnao nhưng_mà mình thấy hay mà, càng nghe càng thích luôn ấy :trái_tim_đỏ: ️"
548,"Cố_gắng đạt kỉ_lục nhiều người xem hơn mv em của ngày hôm_qua đi, Sky"
549,sao toan binh luan nuoc ngoai the nay sếp quá nổi_tiếng rồi sao?
550,Bài của Jack với SonTung cong hay hơn cái này nhiều
551,ANH da rat thanh cong trong linh vuc cosplay :cười_ra_nước_mắt:
552,Các ô cứ chê dở mà 2 tuần 1. 8M lượt xem kìa: ) ) ) ) ) ) ) )
553,Theo ý_kiến của em thì chị Chi hát cũng hay nhưng hầu_như không có chất riêng trong giọng hát của chị: vậy Nên giọng chị không được nổi_bật và khó có_thể nhận ra là giọng hát của ca_sĩ nào ạ: vậy
554,Không thích nhiều hơn cả thích thế_này mà vẫn lầy làm tiếp mv à
555,Trong Miền Nam chả ai ăn cái thứ này cả :cười_ra_nước_mắt:
556,Sữa_chua nhà làm ngon như nhà làm nhé mấy bợn: vậy
557,"siêu sán biến_hình, bất_cứ cái gì mới mà ra là tùng ' s biến_hình được hết, nếu muốn biết sán biến_hình là gì thì tìm quyến sinh_học c2 hoặc lên bác Google nhờ giúp :cười_đỏ_má:"
558,mấy fan nước_ngoài bu vào đây và không thích cũng nhìu ha: vậy tội sơn tùng mua thùng mua tivi vãi cả lúa: ) )
559,Cmt chê là bị xoá hết: ) ca_sĩ gì lạ vậy? Ít_ra cũng phải lắng_nghe chê gì để sửa chứ? Đằng này lại đi xoá: ) ) )
560,Mv đầu_tư đẹp... nhưng chỉ mõi giọng thôi
561,GD cũng đã từng bị như Tùng núi. Oppa của tôi còn rớt nước_mắt... cay_đắng hơn ST gấp nhiều lần và hiện_tại... tai_tiếng chỉ là quá_khứ và tài_năng sẽ khẳng_định chính mình. Sao có_thể đẩy những nhân_tài như_vậy xuống bùn lậy được chứ Cả đất_nước Việt_Nam này hỏi xem có mấy_ai tài_năng như ST. Cứ độc_đoán như mấy bác anti thì bao_giờ đất_nước ta mới thay_đổi được đâg http: / / mày. blogtamsu. việt_nam / 21 - tuoi - gì - dragon - da - bi - beu - reu - ngoai - duong - va - ep - tu - tu. html
562,Ai cho cải chị mèo simmy Cấm nhé cô ngân
563,"Bài hát hay nhưng MV vẫn còn nhiều chỗ kì_lạ, xem chưa đã mắt"
564,chưa bao_giờ thấy học thành ca_sĩ lại dễ đến thế: ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )
565,Đừng nghĩ Sơn_Tùng không dám Sơn_Tường nhé hihi
566,"sếp ơi! s sky thý sếp xăm cái hình ở cỗ nhìn kì kì s ý, âm_nhạc nghe rất hay."
567,chị ý hát hay mà sao mọi người lại không thick vậy
568,cái đoạn rap giống đoạn rap của Rap_Monster trong Fire ghê
569,"thấy trên mạng mọi người ném đá dữ lắm. nhưng mình nghe thấy giai_điệu, lời bài hát cũng hay đấy chứ?: D"
570,chuyện hát dở là chuyện bìh thườg vì có ai mà lần đầu_tiên đi hát hay ra mv hay đâu có dở ms có hay chớ
571,chưa bao_giờ thấy 1 MV VIỆT_NAM tăng lượt xem nhanh như_vậy
572,"thấy giọng cũng được mà..!! chả qua bài hát hơi bị "" trớt quớt "" thôi."
573,há há hơn 100 triệu lượt xem rồi ước_mơ của Sky thành_công rồi
574,"chị cố lên nhé, dù không phải fan của chị nhưng mong chị thành_công khi trở_thành một ca_sĩ"
575,"ae biết sơn tùng mtp là gì không?, là sơn tùng mặt toàn phân đấy: ) )"
