,text
10065,🙀🙀🙀🙀🙀🙀🙀😈😈😈😎😎😎😎😎😎😎😎😏😏😏😏😏😏😏😏😏😻😻😻😻😻😻😈😝😝🥶🥶🥶🥵😡🤬🤬🤯🤬🤬🤬😵😵😵😵😵😪😪😬😬😬😬🥸🥸🥸🥸🥸🥸🥸🤪🤪🤪🤪😚😚😚😚😚😚😍😍😍😍🥰🥰🥰🥰🥰
10066,😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎👍😻
10067,Hero team ngầu quá
10068,1:22
10069,ngầu đấy
10070,Hay qua
10071,Anh Phong và chị Sam mặc cặp kìa đẹp đôi quá
10072,Hà Thảo Linh xinh lắm á
10073,"mãi là fan hero team

❤💘❤❤❤💘💘❤💗💗💗💗💗💗"
10074,Cô ngân vô địch
10075,"nó thực ra là cx hay theo một cách nào đó
kiểu
có những thứ tuy nhìn như cak nma nếu đổi góc độ 1 tý là sẽ đẹp
e.g: mắt người
bình thường nhìn thẳng sẽ đẹp nma móc ra thì sẽ như cái bài này"
10076,chi meo sim my đepva xam my đao đep
10077,Giọng ng ngoài hành tinh
10078,Cô ngân số 1
10079,🤮🤮🤮🤮🤮🤮
10080,Hẻo team
10081,Sam béo
10082,Sim dẹo
10083,Ui bác gấu
10084,solo với em ko 😎😎😎
10085,Yêu thương
10086,Cô Ngân và Mèo simmy rap hay quá
10087,Chú rikaki mãi đĩnh 👍❤
10088,😆😆😆
10089,qua dinh luon
10090,"Toi đang nằm liệt giường mà nghe thấy quả nhạc này , đã phải đứng đậy đập nát cái máy tính 😌😌😌"
10091,Hero teme mãi đỉnh
10092,Ko biết các ông thấy thế nào chứ tôi thấy mỗi Siro là còn được
10093,bắp vị phô mai :)
10094,BAC MEO
10095,BƯỚM CHỊ SIMMY TO LẮM EM RẤT THÍCH :))
10096,Siro đỉnh
10097,Có ty gameming kìa
10098,chị ơi chien cô ngân hay quá
10099,a noob rap chắc hết hơi (=
10100,Fifai sống dai là huyền thoại
10101,"đoạn cuối của bác gấu em nhìn ghê qué,nhưng vẫn hay các bn oiii"
10102,Ajzjsjzjsjsjjh
10103,chào my
10104,E xiêu xiêu yêu Hero Team luôn 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍
10105,Cô ngân rap hay quá
10106,Cô Ngân mãi dinh
10107,xem lại vẫn hay😍
10108,Phông cận ngầu quá
10109,Ngầu vải
10110,Gê quá
10111,ve ri gút
10112,"Khi cha mẹ sinh ra t đã có thể đi đứng đc , nhưng sau khi nghe xong t đã bị liệt :)))))"
10113,simmy sammyđáo
10114,ích tốp tốp thôi hứ
10115,Đội nào có chị simy là em chọn đội đó 😯👏👍✊
10116,Rap hay quá mấy anh fi fai ơi lửa chùa mãi đỉnh
10117,cân hết các con bot HERO TEAM
10118,nếu  ko nghe đc thì đừng nghe nghe hết rồi lại bảo ko hay này nọ
10119,Bao giờ xem rap cũng thích xem nhất đoạn của mister vịt á nhưng ai cũng hay 💛💛💛
10120,Hero team vẫn nhất
10121,hero team kì
10122,wtf
10123,Đỉnh ko cần chỉnh 🤭🤭
10124,khet day
10125,Rất chi là mắc địck lun ^^
10126,nhạc dành cho ng điếc
10127,Cười ẻ
10128,Hero team mãi đỉnh
10129,trẻ trâu viêt nam
10130,Em thích Em chi  Mèo
10131,Cảm mơn hero team vì đã cống hiến cho ngành y học của việt nam à nhầm cho thế giới tôi bị liệt nhưng sau khi nghe thì tôi có cảm giác có thể đi với tốc độ ánh sáng
10132,hay quá hero team oi 😍😍😍👍🏽
10133,cô Ngân là trà xanh
10134,🙏🏻🙏🏻🙏🏻🙏🏻
10135,:))))))
10136,bài này lm tui gãy tay nghe song có thể cần búa đập
10137,Em chúc hero làm nhiều video nha
10138,hay nhất đoạn noob tgaming(còn tất cả đoạn còn lại đều dở)
10139,nhạc ráp rất hay😘
10140,😊😊😊😊😊😊😊😊
10141,Chị ơi
10142,Chị Sami chị simmy ai là số 1
10143,"wow hay quá , nhờ có bài hát này mà thg bạn mik nó bị liệt chân với điếc tai đã có thể đứng dậy tắt cái bài rap này . xin cảm ơn"
10144,1:20
10145,Hero team rap hay quá 🥰🥰🥰
10146,Hay  quá
10147,Hay
10148,Hero Taem làm nhất
10149,Chị Sam My rap hay quá
10150,1:20
10151,Chị ơi chị
10152,Such a hidden talent that I wish it kept hidden
10153,Bac gấu ngầu nhất
10154,Hẻo team hát đỉnh ghê
10155,Nghe.       Cười ỉa chảy
10156,A siro đúng kiểu rap nhanh lun ak ai thấy thế ko???
10157,Mèo xim mi ngâ
10158,Chị mèo hát hay nhất 😍🤩
10159,Em là fan hero team
10160,Em thay chi simmy rap hay ma
10161,Rap hay quá em nghe mà bị hỏng cả loa điện thoại
10162,ngay cấn vãi
10163,2022 chào ae :>
10164,Anh vịt chửi bác gấu kinh quá haha
10165,love you hết team
10166,em chị mèo simmy được nhiều sức khỏe
10167,Cảm ơn bài nhạc đã giúp tôi bị cụt tay từ nhỏ đã lành lại để đập cái đt đi vì nhạc nghe như
10168,tránh ra để cô ngân với simcu rap đê:))
10169,*hero team là số 2 thì không ai là số 1 mãi là fan của hero team yêu hero team ❤*
10170,*Hero team mãi đỉnh*
10171,Nghe mãi ko chán
10172,em chào anh chị ạ
10173,Hero là nhất
10174,Rap hay quá
10175,hay wa 😚
10176,Sau khi nghe xong thì thằng em tui rất hay lười bỗng đứng dậy tắt tv
10177,1:21
10178,T gaming
10179,toàn tâyuyyyy
10180,"A di đà phật,đau đầu chóng mặt tê tay mỏi gối táo bón sỏi thận sỏi mận viêm suy gan viêm thận viêm phổi đau tím suy dinh dưỡng đau bụng viêm mũi ẻ chảy đau gan thót trym ung thư HIV covid 19 yếu sinh lý và còn nhiều triệu chứng khi bị nhiễm bài này..."
10181,Nghe xong nhức đầu chóng mặt tim đập nhanh đột quỵ:)
10182,Tut nét đi ạ
10183,Ùm hero team x stream mơ lòi ra tg ming
10184,hay qua tr oi minh team meo simmy nhaaaaaaa <3 <3 <3
10185,Hay quá
10186,"cam on hero team, nhờ vậy mà căn bệnh điếc bẩm sinh của tôi tái phát 🙂"
10187,Ồ bác gấu cũng mê gái mà vậy bác là già trâu
10188,đố anh chị đánh em đấy 7 tuổi
10189,"EM LÀ FAN HERO TEAM NHA.
     TIM TIM TIM YÊU HERO TEAMMMMMM"
10190,hảo rap của làng free fire
10191,"Uầy nhờ bài hát này mà t ỉa cứt trôi tuồn tuột luôn, cảm ơn nha=)))"
10192,E fan anh gao bạc nè 😱😱😱😱😱🥶🥶😈😈😈🔥🥵
10193,Kkkk
10194,kamui top 1
10195,Hay quá
10196,đg ỉa mà nghe xong lổ đít nở hoa luôn mn ạ
10197,Em là vua rap nha
10198,u là tr hero team đỉnh zữ😮
10199,Chắc là hello tim bà nội ạ Haru tim vườn rồi
10200,Đây là mine solo lửa chùa à
10201,Hayyyyyyyy
10202,1:22
10203,chị sim top 1
10204,T nghe vui vui sao đó cười miet
10205,ỤnỤ Sim đỉnh qué à m.n.
10206,em thich hero time
10207,chi oi em thich chi simmi va sammy a
10208,quality ngon mà
10209,2022 chắc vẫn có người xem
10210,💜💜💜💜😀😀😀😀😘😘😘😘❤️❤️❤️❤️❤️
10211,Wom
10212,67667676765677676767676767767
10213,vôho234589gasomataqanovahosab
10214,acv
10215,Tui chọn Hero
10216,Cô ngân mãi đỉnh
10217,qua ghe gom
10218,"hero rap:
đỉnh 
hay
ngầu"
10219,Đúng hay like
10220,dụ dỗi trẻ con lấy tiền của bố mẹ nạp game 😒
10221,Cái Đậu Phộng Hero Team Tai Tao
10222,"Tôi bỏ nguyên 1 ngày để đọc gần hết 49 ngàn cái bình luận thì thấy rằng mọi người nên biết ơn ekip và các ráp pờ đã tạo ra 1 bản rác có thể chữa bách bệnh cho người nghe, chữa được gãy tay chân nghe xong cầm búa đập được loa, tivi. Chữa bệnh liệt toàn thân vì nghe nhạc đang liệt cũng phải đứng lên tắt loa. Bệnh sợ độ cao vì nghe nhạc mà nhảy lầu nhảy cầu... Và tôi đang viết những dòng này khi ở trong trại tâm thần vì nghe cái bài này."
10223,Rap hay day nho
10224,Oii chỵ mèo simmu=)))))
10225,HERO LÀ CỦA FAN HERO ĐƯỢC FAN BẢO VỆ
10226,rap hơi nonnnnnnn
10227,"Cảm ơn garena vì bài rạp này, cơn buồn ỉa giai đoạn cuối của em thành âm mẹ r ạ"
10228,Wow bài hát rất hay lm cả gia đình tôi ung thư tai chỉ vì bài nhạc này 🙂
10229,Cj Linh mãi đỉnhhhhhh
10230,hai phong can
10231,Cảm ơn hero đã tạo ra siêu phẩm giúp tui đang bị mẹ đánh thg em mở bài lên mẹ ko đánh nx mà chuyển sang tát thẳng mặt luôn
10232,Hãy qua ❤️❤️❤️❤️❤️❤️
10233,Lúc nào đi ỉa tôi sẽ nghe nhạc này để ko bị táo bón
10234,ui chị sammy đào lần đàu tiên nhắn trên youtube
10235,Nghe bài này xong tôi muốn đi vệ sinh
10236,Tiếng sao hỏa :)))
10237,hay
10238,Tụ bây lên rap v 3 đi :)
10239,Khét lắm lun ớ 😍🥰😘😊🍀
10240,hero team đỉnh cao
10241,Ok
10242,Hero Team là nhất ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍😍😍😍😍😍🤩🤩🤩🤩🤩
10243,
10244,"Trời ơi HERO TEAM rap hay quá đi
Yêu chị Simmy"
10245,(:♡♡♡◇◇
10246,Hay
10247,Rap hay ghê
10248,Anh rô rap ảo ma
10249,🤟🤟🤟🤟🤟🤟🤟🤟🤟🤟
10250,anh phong đẹp trai  quá
10251,Fan chị Simmy nè
10252,hay quá 😎🥰🥰🥰♥️♥️♥️
10253,Hay quá gà rán
10254,Bẩn cả 1 cộng đồng của t
10255,anh phong cận với chị sammy rap hay quá à
10256,Magaming mới là top 1 rap nhớ
10257,"wow
wow
wow
wow
wow"
10258,Chúa hề
10259,mèo si  thật hả
10260,Simmy hayy màa
10261,Thính giác của tao đã hủy hoại lên một tầm cao mới :))))))
10262,"Cảm ơn hẻo team vì đã lm ra bài hát này, tôi bị gãy tay, sau khi nghe bài hát này thì tôi đã lấy cái đt nokia của tôi ném vào cái loa và màn hình TV, ném xong thì tay tôi hết gãy, xin chân thành cảm ơn."
10263,Wow
10264,Ung thư giờ thêm magaming nữa đứng là phai phai toàn rapper tái năng có thể vươn ra thế giới nhất phai phai:D
10265,Chi sammy ngâu pua
10266,Má mixer hardword quá
10267,Hay qué hehe
10268,hay vậy
10269,😍😍😍😍
10270,hẻo
10271,Thây quá đi
10272,mik thấy nghe cũng được mà sao đọc bình luận không văn minh tí gì
10273,hay  quá
10274,so cua chi trong ri phai la may
10275,chi sammy oi
10276,Fan hero team :)
10277,lúc đầu thì tôi ko thích free fire lắm nhưng nghe nhạc xong thì tôi tải free fire về và chơi cùng hero luôn
10278,hi
10279,Vỗ tay
10280,LÊN TOP 1 THÔI
10281,"Sammy và Phong cận đứng ở đây đó thôi
Cá Mập sát thủ đây thử nuốt xem có trôi? Yah!
Đạn tao đầy băng chứng minh mày có gan đi!
Khi tao còn ở đây đứa nào dám động tới Sammy
mik thích hai câu của chj Sam và anh Phong: 
Sammy: Sammy và Phong Cận đứng ở đây đó thôi😍😘
Phong Cận: Khi tao còn ở đây đứa nào dám động tới Sammy.🥰😏
đúng khum m.n"
10282,Lên top thôi 😆
10283,Cảm ơn hero team đã tạo ra bài này anh tôi bị liệt hai chân sau khi nghe bài này thì tự nhiên đứng dậy đấm vỡ màn hình tv
10284,Chắc có tôi thấy mấy ông này rạp như ĐBRR
10285,Can ơn hẻo taem nha
10286,https://www.youtube.com/watch?v=uBw0sC-xHb0......................
10287,siro rap ghê vãi
10288,Bài này hay quá nghe mãi k chán l love you chị simmy và hero team ❤️❤️💓💓💓❤️❤️❤️❤️💓💓 💓❤️💓❤️💓❤️💓❤️💓❤️💓❤️❤️💓❤️💓💓 em sẽ luôn là phan của hero team ❤️
10289,Hero Tim là nhất
10290,ơ cái bài rap này có phải là bệnh viện online đâu mà sao ai nghe bài này cũng khỏi bệnh hết là sao?🤔🤔🤔🤔🤔
10291,Hero team  is one
10292,"từ nhỏ tui đã là 1 đứa trẻ sinh ra bị liệt toàn thân,sau khi nghe xong bài hát này tôi đã đủ sức lực để đứng dậy và nhảy xuống khỏi 1 toà nhà cao trọc trời
Cảm ơn bài hát này nhiều lắm^^ <3

391"
10293,chị đúng la thiên tai
10294,chị ơi bai nay hay quá em cho một lai
10295,STREAMERS FREE FIRE đỉnh nhất
10296,Chị simmy rap hay như bùi
10297,😆😄😄😄😄
10298,Cô ngân hát hay quá hon chi timmi haha hay
10299,Chi simmy hát hay quá chi camui hát   hay quá
10300,A mèo simmy thấy Cj em mà ko thẻ tim đi nếu em không dám nhận lời v thôi em im đi yah!!! Bác gấu said tên là vịt chắc trình độ cũng ngang 🐓
10301,Bây giờ mới xem như cũng hay nhìn chị zimmi xinh quá faifai mãi đỉnh
10302,rap nhu doc bai
10303,Hero team đỉnh  nhất ❤❤❤❤❤❤❤❤❤❤❤❤
10304,rap hay nge chay nhu free fire . có ai giống mình không mê vllkllll
10305,Simmy là nhất
10306,:)
10307,"Ối giồi ôi, đau tai lắm !"
10308,hay vải s h t mới biết ><
10309,nghe mắc địt quá;0
10310,1:35
10311,Vừa nghe vừa đi ỉa quả thật tuyệt
10312,Thấy hero team rap hay nhất luôn 😍😍😍😍😍😍😍😍😍😍
10313,"Gao Bạc TV: 7,5
Phong Cận TV: 7₫
Rikaki: 8₫
Siro officer: 9,5₫
Cô Ngân TV: 6,5₫
Mèo Simmy: 5,5₫
Hà Thảo Linh: 10₫
Timmy TV: 4,5₫
Toàn Tây: 6₫
Kairon TV: 6₫ 
Kamui TV: 8₫
Cô Ngân TV:8₫
Gao Bạc TV: 9₫
Sammy Đào: 10₫
Phong Cận TV: 8₫
Bác Gấu: 9,5
Mr Vịt: 10₫"
10314,"Sau khi nghe bài này tôi đã hết táo bón
 Mà bị thành tiêu chảy"
10315,Vc hai chị rap kinh vãiii
10316,Chắc chào tao mười 5 năm nữa
10317,Xin nhẹ tuổi
10318,Em là fan hero team nè em chào chị Sammy
10319,"cảm ơn team đã tạo ra mv n,nhờ nó mà căn bệnh ung thư của tôi chuyển sang giai đoạn cuối rồi,gớt là cảm ơn"
10320,Hero mãi truất
10321,Các bro này mà đi thi rap việt hay king of rap chắc trượt từ vòng casting :)))
10322,Thương tai mình đi các bạn
10323,Và đây là rap hài lửa chùa
10324,Timmy là nhất
10325,T-gameming ghê ta
10326,khúc cô ngây và simmy hay quá
10327,T Gaming vs phong cận gà
10328,mv mọi người cãi nhau kinh ghê
10329,Đọn của ro căng
10330,hẻo :)
10331,Simms ngau  qua
10332,Hero mãi đỉnh
10333,Co ngan la nhat roi 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍may yeu co ngan tv
10334,Simmy rap  do nhat trong tim moi dung
10335,Simmy la nguoi khac do nhat trong tim 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮
10336,chọn bơm bác gấu
10337,Chị simmy rap hay và dễ nghe quá 😍🥰
10338,HERO TEAM
10339,cô  ngân như đang học thuộc bài z
10340,Ai chọn phe hero team
10341,Hero team đỉnh nhất
10342,nghe mắc ẻ =))
10343,Toàn tây ăn hết
10344,giọng cô Ngân buồn ngủ quá
10345,Bài Tiếng Việt đầu tiên tôi phải bật phụ đề mới nghe được
10346,rap hay
10347,Cảm ơn bài hát đã khiến tôi ẻ đc ☺️
10348,Hero gắt quá
10349,Nghe buồn ẻ vãi
10350,Flow phong cận nghe hay nhở
10351,[hay qua]
10352,đoạn siro rap nó cứ kiểu ảo ma canada mafia đặt hàng lazada ròi bom hàng
10353,ông tổ ngành yang hồ mõm
10354,ung thư tái quá cám ơn garena đã làm sp này để tôi có niềm tin rằng bài như này còn nghe dc thì những bài khác tuổi luôn
10355,Cảm ơn bn nhờ bn thầy ông nội tui chết sống vậy để tắt :)))
10356,Bây giờ vẫn phải nghe lại vì hay
10357,Hay quá
10358,Cô ngân và simmy và Sammy hát hay vá em sẽ cui bọi người đang cí
10359,Rô rap căng quá
10360,Phong Cận hát hơi gắt xíu
10361,Chị SimMy  rạp cute ghê
10362,ối dồi ôi lyric lẫn nhan sắc của cô ngân thật là đê tiện quá hà :V
10363,.-. Hay
10364,"Yah! Lên top nào hero team ơi, quá khét luôn mấy ông ạ 💓💓💓💓💓"
10365,hay lắm tao ung thư tai rồi
10366,Hai anh phong ơi 💙💙💙💙
10367,Hero team rap hay quá
10368,cảm ơn vì đã sáng tạo ra bài hát làm tôi hết táo bón
10369,Con mèo simmy mà thắng đc cô ngân thì xuống lỗ hết rồi
10370,Chị mèo simmy là nhất 🥰🥰🥰
10371,vcl rap
10372,tụt huyết áp
10373,em chúc chị méo simmy được nhiêu sức khỏe và hạnh phúc
10374,sợ té ghế-ới
10375,🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯😎😎😎😎😎😎😎😎😎😎😎😎
10376,🤯😎de de de hây quá
10377,hero team rap hay quáaaaaaaa
10378,Bác Gấu Đỉnh Waaaaaa
10379,Nhóm cô ngân
10380,Má:))))
10381,sau khi có rất nhiều nhạc rap gây nghiện ra đời thì phi phai ờ đã xuất bản 1 bài rap gây cười . vỗ tay nào
10382,Hero team hay nhất Em chúc anh chị năm mới nhất
10383,Các anh chị ngầu quá 🤩🤩
10384,Á Đù
10385,Ghê
10386,https://youtu.be/uBw0sC-xHb0…
10387,Mấy anh chị remix hay quá đi
10388,Nhưng mà từ dưới đếm ✌️🤣🤣😆👍👍💪💪👍👍👌👌🤣🤣🤣🤣😂🤙🤙🤙
10389,😅👌 bạn ừ nhất bạn rồi
10390,"Hero team quá khét
khét cháy đen luôn :v"
10391,hay qua di 🤟🤟🤟💯💯💯💯
10392,https://youtu.be/uBw0sC-xHb0…
10393,Chị sammy hát hay quá
10394,"Nếu tôi có 2 lựa chọn
1.Làm fan hero team
2.Uống thuốc độc
Thì tôi xin phép uống thuốc độc"
10395,Nhạc này nghe rất đau tai nha mong mọi người đừng nghe 😂😂😂
10396,👍👍👍👍🤗🤗🤗
10397,Kkkk
10398,Hê rô tim đèm vá ❤️❤️❤️❤️❤️😍😍😍
10399,HAY
10400,😍😍😍😍
10401,💯💯💯💯
10402,Chị sim đèm vá
10403,Si rô anh đèm chai vá
10404,Rikaki gánh còng lưng
10405,Rikaki cà khịa hơi nhiều nha
10406,"Em tôi bị táo bón, may có bài rap này mà em tôi nghe xong ảy chỉa luôn. Cảm ơn rất nhiều :))))"
10407,Chỉ có Hero Team là nhất thôi nha
10408,01:36 troi oi xem lại chac cai lỗ chui xuống.như con gi kiu vây troi mac ói
10409,"Rất cảm ơn Garena đã tạo ra bài rap này, thằng bạn t nó đang bị liệt 2 chân sau khi nghe bài này đã có thể tự đứng dậy tắt tivi"
10410,Hero team thắng
10411,Ai thắng đây
10412,Cj sammy và phong cận và kamui hát hay cựt
10413,Thằng bạn tôi liệt giường 4 năm và khi nó thấy tôi mở bài này thì cơ thể nó lại hoạt động bình cmn thường rồi 🙂
10414,"toàn trẻ trâu
sammi giọng giẹo"
10415,FFFFFFfFfFFFFFFFFFFFFFFfFFfFFfFFFffFFFfFfFfFfFfFfFffFfffFfFfFfFfFfFfFfFFfFfFffFfFfFFfFffFFffFfFFffFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFGGGFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
10416,ffFffFfFffFfFFfFffFfFFfFFFfFffFfFfFfFfFfFfFfFfFfFfFfFfFfFfFfFfFfFfFfFfFffFfFffFfFfFffFffFffFFfFfFfFfFfFfFfFfFFfFffFfFfFfFFfFfFfF
10417,fFFFfFFFFFFFFFFFFFFFFFfFffFfFfFFfFffFFfFfFfFfFfFfFFfFffFffFffFfffafffFffafffFffffFFfFfFfFfFFfFffFFffFFFffFafaFfafFfFfFfFFFfFfFfFfFfFfFfFfFFfFFfFfFfFfFfFfFfFfFfFFffFffFfFfFfF
10418,FFFFFFFFFFFFfFFfFfFfFffFfF
10419,👍👍👍
10420,👍👍
10421,👍👍👍👍👍👍
10422,đây là phim hài
10423,đội cô ngân khét quá 😂
10424,"Sau khi nghe xong bài hát này tôi đã chạy ra đường chờ xe tông nhưng lại có đứa khiêng tui vô nhà , giờ tk khứa đó khóa cổng lại r ứ chạy ra đc nữa 🙃"
10425,Nhạc hơi bị cháy nhờ
10426,"Hero mãi đỉnk, Siro quá hay"
10427,Cô Ngân bất bại :)
10428,cô ngân
10429,Bác gấu band acc hết bây giờ =))))
10430,Với thiệu vs các em chị là simmy🤣😍
10431,1:20 đỉnh vãi🤣
10432,cô ngan hay nhat
10433,De de de sam sim quá ngàu de
10434,Sammy ♥ phong cận simmy ♥ caron và cô ngân  ráp hay quá
10435,Heroteam là số 1
10436,Cc cô ngân chất quá
10437,Đù
10438,Hẻo
10439,Hero team cô lên em tinh tuong mà😘😋😄😄🥰🤨
10440,Hero team ngầu thật sự
10441,yêu chị sam và chị sim
10442,Ngầu  ghê luôn á
10443,listen to music like 😱😱😱😥
10444,ghiền khúc rap của cha nụo siro🥴😒
10445,Simmy hát hay quá 😁😁
10446,Best destroy đâu
10447,Hay quá hero team ơi😍😍😍lên top nào
10448,lần đầu tiên t nghe loại rap mà nổi da gà ( quá thảm hại trong rap)
10449,Chi Sim rap hay qua😍
10450,He ro tami
10451,Tem gao bạc ghê hơn
10452,Rap dở đòi rap với gạo bạc
10453,Thik tem cô ngân
10454,Kinh quá
10455,Ngầu quá
10456,sim cả ngày cười
10457,Cô ngân mãi đỉnh
10458,Simmy và cô ngân hát ko hay nhưng đc giọng đặc biệt:)
10459,cố lên hero team cố lên
10460,😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍
10461,Cười ỉa
10462,Chào
10463,Ko bt cs ai còn xem hưm ta nghiện hổm h
10464,omg có noop team gaming lun hay quá
10465,Woa
10466,chj mui ngau
10467,nghe ông ro rap chả hiểu gì luôn
10468,Nếu ông trời cho tôi lựa chọn là tự sát hoặc ở chung với hero Team thì tôi chả ngại mà tự sát :)
10469,hài vãi nhạc này là nhạc gì vậy mọi người
10470,tệ
10471,Sr
10472,Xợ hãi qé
10473,Nát tai🥲
10474,"Cố lên hero team mãi chiến thắng 😎😎🥰🥰,🐥🥕🐿🐻‍❄️🐬🦈🐺🐑"
10475,Lửa chùa
10476,"tôi sinh ra đã là 1 đứa bé liệt toàn thân, nhưng khi nghe xong bài hát này người tôi như có một nguồn năng lượng chảy qua vậy.









tôi đã đứng dậy để đi tắt bài hát này và sau đó tự sát"
10477,Ủa ai là mèo simmy vậy có phải là cô gái tóc màu xanh dương không
10478,Hà thảo linh rap hay vãi
10479,Hero team mãi là nhất
10480,nghe xong ung thư tai
10481,oi chi meo simmy vu bu qua
10482,Cô lên chi sim ơi
10483,Heo
10484,Nhạc nghe cháy quá
10485,Nhạc hay quá :_)
10486,quá khủng khiếp
10487,Siro là thánh rap
10488,"Quá hay luôn a chj hero oi 
E nói là a chj sim chj mui á rap hay nek với chj sammy"
10489,chị sammy mãi đỉnh
10490,"666😈😈




666😈😈😈😈"
10491,"em, yêu, chị simmy,😍😚😘🥰😽"
10492,👍🏻👍🏻👍🏻👍🏻👍🏻
10493,Hero team thôi
10494,Si.so. bắn giỏi nhất thế giới trong năm 2021
10495,Wow. Có Bác Mèo Luôn
10496,Có anh noob
10497,Có cả toàn Tây luôn
10498,Hay quá đi chị ơi
10499,Hẻo team luôn á =))
10500,anh siro rap rỗi não quá
10501,1 mk toàn tây cân mẹ ns hết r
10502,Ngầu như cái bồn cầu 😊🙏
10503,😎😎😎😎😎
10504,Phong đẹp trai 😒
10505,Điếc mẹ tai=)))
10506,Garena rạp không hay bằng herotem
10507,Mãi iu cô Ngân
10508,Chị simmy mai dinh
10509,Gao mặt đúng cong lun
10510,Sammy Với Phong Cận Ráp Hay Mà
10511,Căng dị🤣
10512,Bố thà xem sẽ còn hơn nghe bọn này rap
10513,'' Cho hỏi đây có phải không nè
10514,Chó phải gọi bằng cụ
10515,yêu hero team💚❤️💛💙💖🖤🤍
10516,Haru tim mãi đỉnh nhất thế giới mãi mãi đỉnh nhất thế giới Haru tim mãi đỉnh nhất chiến thắng nhất thế giới Việt Nam muôn năm
10517,Haru tim mãi chiến thắng mãi đỉnh số một
10518,Em yêu đội anh Mr. vịt
10519,Hè Roh mãi mãi chiến thắng
10520,Suốt ngày top top
10521,Bài rap của garena rất hay nhưng rất hay đối với người bị điếc
10522,Tôi không thể chăm sóc da mặt bằng r ko gặp nhau cuối năm nay  em đi anh ơi em có thể chăm sóc sức làm việc tại các khu vực này và các tỉnh
10523,rất tốt
10524,Herooooooooooo❤️❤️❤️❤️❤️❤️❤️
10525,Hero team là số1 còn lại la số 0
10526,hay quá
10527,Chúc team hero chiến thắng
10528,hay qua
10529,"Yah lên Top nào Hero Team ơi,  quá khét luôn mấy ông ơi."
10530,HAY QUÁ ĐI HERO TEAM NGẦU THẬT
10531,Trời cái nhạc
10532,hay quá! coi mà nhìn chị  simmy và cô ngân  là hát mà yaa!!!
10533,CENA
10534,He ro non
10535,Chj simy đỉnh quá ^^
10536,Anh sigo ngầu quá
10537,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
10538,T
10539,tao nghe nó cứ ớn ớn:)
10540,Em fan hero và t gaming
10541,Chẳng biết ai thắng nghĩ là team hero
10542,căng
10543,Hero trận này rạp win r nhà :)
10544,sammy đào phong cận tv kairon tv  chị mèo simmy  kamui cà rót mr vịt siro mimi
10545,siro hát nhanh quá nhung mà hay
10546,"vâng,nghe vẫn trầm cảm như ngày nào:)"
10547,Xammi
10548,😠
10549,cho em hoi cai nay nha gao bac noi du no co la ai thi cung bi headshot the co ngan cung bi a🤣😏👎
10550,NHẠC GÁNH GÃY LƯNG
10551,Rap gao bạc rikaki  cô  ngân. Hà thảo linh. Kamui  mèo simmy  karon    tuu thik kiểu rap đỏ ❤️
10552,"KINH TỞM QUÁ
ĐÂY LÀ BÀI HÁT TỆ NHẤT TÔI TỪNG NGHE"
10553,Mn ơi xem mãi ko chán
10554,Thao
10555,Nghe mắc ói quá mấy bro
10556,dâng hiến đôi tai
10557,Mắ=)
10558,Dác
10559,What the heo😱😱😱🤣
10560,🇻🇳💄💍💎🎩🎓🧢👒👑🩰👠🥿👘🎁🏖🥡🍱🍡🐈😇😍🥰😍🥰😘😘😘😘🦄🦄🦄🦄🦄🦄😇😇🐈🐈🐈😘😇😍😍🥰🍡😍🐈😍🍱🍱🍡🎁🎁🥰🇻🇳💎👑🏖🥰💍👑🏖😘🏖
10561,10
10562,👑😘😘🥰😍😍😍😇😇😇🐈🐈🐈🍡🍱🍱🍱🥡🏖🎁🎁🎁🎁👘🥿👠🩰👑👒🧢🎓🎩💎💎💎💍💍💄💄💄💄💄💄🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳
10563,aaa c mèo simmy
10564,Anh siro rab hay nhứt HERO TAEM
10565,Simmu hát ngôn ngữ gì vậy
10566,HELLO J SAMMY
10567,Hẻo team là số 1
10568,Quá hayyy!!!!!
10569,nghe xong ung thư tai
10570,Team hero toàn rank đồng hoặc bạc
