,processed_text
6310,cháy go
6311,sẽ sex
6312,gay ?
6313,Thêm vào danh sách tra tấn lỗ tai và nạn nhân
6314,Một bài hát thảm họa
6315,:smiling_face_with_smiling_eyes: bài này sang thật .
6316,Tôi thấy cũng hay mà
6317,Claim qua môn thể chất ạ :heart_hands: :light_skin_tone: :four_leaf_clover:
6318,"Tôi vô tình để cả nhà nghe lúc ông hát , giờ tôi đã bị gia đình xa lánh , làng xóm tránh xa , bạn bè nghi ngờ gu âm nhạc , tôi bắt đền đấy :loudly_crying_face:"
6319,Thảm họa 2024
6320,Bị chê dở nhưng view vẫn cao vèo vèo kìa
6321,Ô sigmaboy kìa
6322,Cười không ngậm được mồm mặc dù nghe không hiểu nhạc và lời :face_with_tears_of_joy: đọc xong các cmt thì cười rụng luôn mồm
6323,Có khi tôi chơi pickelball còn được hơn khi nghe bài hát hay này :face_with_tears_of_joy:
6324,Nếu bài này được phát hành vào thế chiến thứ hai thì mọi người sẽ quên đi hitler
6325,không NGHE :smiling_face_with_smiling_eyes: :red_heart: LÚC NGHE :skull:
6326,Nghe như l : )
6327,bay gio ai cung am anh pickle ball
6328,"Lyric như cc , còn lại beat rất hay , melody hay , bắt tai , hát rõ lời ! Bài này mà chịu viết lyric tử tế thì hay lắm !"
6329,Nhạc ỉa chảy
6330,Mắc ói :face_vomiting:
6331,"Vâng lúc trước khi nghe bài hát này tôi đã là một người bị khuyết tật sao khi thằng bạn bật cho tôi nghe bài này chân tôi đã đi lại được , tôi đi tới và đập mẹ cái dth của thằng bạn , cảm ơn người tạo ra bài hát này nó mang lại cho tôi sự kì tích tôi khuyên bạn DỪNG RA VIDEO NỮA cảm ơn bạn rất nhiều !"
6332,Bố mẹ tôi đang cãi nhau bật bài này lên phát bố cầm cây kêu tôi tắt nhạc :face_with_tears_of_joy:
6333,nhé nghe nhu cai lon
6334,"không tốn tiền làm mv đắt tiền mà nổi là hiệu quả cao đó chứ , nhạc cũng hay mà lời tào lao thôi , bài này hát tiếng Thái chắc vui à : )"
6335,Thậm chí trái bóng không phải tennis :skull:
6336,"cố lên nào , sắp 3tr view rồi = )"
6337,Người đẹp mà hát dở quá :face_with_tears_of_joy:
6338,Đứa nào nói hay bước ra đây :face_with_tears_of_joy:
6339,Mặt giống jack vậy :face_with_tears_of_joy:
6340,thôi nào nghĩ ra quả MV xứng đáng đi học lại . :grinning_face_with_sweat: :grinning_face_with_sweat:
6341,Cũng hay mà ta
6342,bất ngờ với anh quí dám đăng : )
6343,bài hát thảm họa của Việt nam
6344,hay lắm cố lên anh nhé :party_popper: :party_popper:
6345,Như cứk
6346,"Thấy trên mạng ngta chê nhiều quá nên tò mò qua đây xem thử , theo tôi thấy thì bài cũng không đến mức phải chê nhiều đến thế mà phải chửi thẳng mặt thằng làm mv này vì nó như cut . tôi nghi ngờ tg cố làm mv thật tệ để được nổi tiếng rồi bắt đầu làm nhạc hay lại ."
6347,Anh hẹn em pickleball :speaking_head: :fire: :fire:
6348,em nhiều cũng thấy hay hay = )
6349,Sau tôi nghe bài này tôi cảm thấy rất may mắn cho những người điếc vì họ không thể nghe bài này
6350,Cuối cùng tôi cũng không bị mấy bà hàng xóm đàm tiếu khi tết đến rồi vì điếc moẹ rồi :sneezing_face:
6351,ơ mà tôi nghe nó bình thươnhf mà
6352,Nhìn cứ đểu đểu kiểu gì ấy nhể :face_with_tears_of_joy:
6353,Người điếc sau khi xem mv này họ sẽ cảm thấy thật may mắn vì mình bị điếc : ) )
6354,Hay thìhay với vài ae không nghe được con với độ nổi tiếng thì nhất rồi : )
6355,"Bạn của mình bj thiếu máu , nhờ bài hát này của bạn mà bạn mình nó nổi máu lên , rồi nó khoẻ lại bth luôn Chân Thành CẢM ƠN BẠN RẤT NHIỀU Ạ :red_heart:"
6356,tôi đang nghe quần què gì vậy
6357,Làm nhạc ai cũng chê mà làm được
6358,Đây thực sự là thick of it của Việt Nam :skull:
6359,tôi NGHE XONG NHẠC tôi NÓ XÀM XÀM SAO Á
6360,nghe oke mà ta :red_heart:
6361,Hay và ngộ quá ! :face_with_tears_of_joy:
6362,NHẠC NHƯ CỨT
6363,Nhạc như quần què vậy
6364,Hay quá tôi chưa bao giờ nghe bài nào hay như vậy - toibidiec -
6365,Hay quá :party_popper:
6366,Tôi từ nhỏ đã bị trầm cảm nhưng sau khi nghe bài hát tuyệt vời này của Đỗ Phú Quí tôi đã hết trầm cảm . Cảm ơn rất nhiều vì bài hát
6367,"Tôi tự hỏi nếu bài này xuất hiện xớm hơn thì liệu anh j97 bỏ con sẽ không phải điều tồi tệ nhất , titanic sẽ không phải thảm hạo kinh khủng nhất chăng ?"
6368,"Ủa , tôi thấy bài này ok mà mọi người"
6369,Khi nghe bài này tôi đã rất phấn khích đến mức đập vỡ chiếc đt
6370,Đúng kiểu ô nhiểm tiếng ồn luôn
6371,"Thật ra đây là một nước đi tuyệt vời của anh Quý , dạo gần đây đang có những vụ việc các em gái mặc đồ hở hang mời gọi đại gia tràn từ môn đánh golf đến pickleball . Nhờ việc đăng bài này khi người ta tìm từ khoá pickleball thì chỉ có mặt anh thôi . + 1 respect :grinning_face_with_sweat:"
6372,tôi đang bị táo bón sau khi nghe xong bài hát này tôi đã ỉa chảy :hot_face:
6373,"tra tấn người điếc , hấp dim người nghe"
6374,Người điếc nghe còn phản cảm
6375,Hay quá anh ơi :face_with_open_mouth:
6376,Nhờ anh bạn em bị liệt nửa người giờ đã đứng lên được chỉ vì muốn đứng dậy để tắt bài hát này . Gia đình bạn và em xin trân thành cảm ơn :red_heart:
6377,hư lỗ tai và lủng màng nhỉ
6378,Bài hát buồn ỉa nhất mà tôi từng nghe
6379,Bài hát này đã giúp tôi chơi pickleball
6380,Thà xem mấy nhạc bị lãng quên thời xưa còn hơn nghe cái mv này
6381,"1 : 40 "" It sounds really bad . """
6382,ê tôi thấy hay cm ạ :eyes:
6383,càng nghe càng cuốn : )
6384,bọn này đúng vô liêm sỉ thật :crying_face:
6385,Nhạc thì như cc mà tự tin nhạc mình hay tôi nói thật nhạc mày nghe như cái đầu buồi tôi vậy tuy duy ngu quá không biết làm nhạc gì
6386,hóa ra hết tiền không phải là thứ tồi tệ nhất : vậy
6387,Blue lock sesson 2 với pickleball :face_with_tears_of_joy:
6388,"Giai điệu thì hay , mà lời ẩn dụ ấy ấy không"
6389,Nếu pickleball ra năm 2019 - 2020 covid 19 sẽ bị lãng quên số lượt người chết tăng vọt còn nếu Thick Of it kết hợp với pickleball đó là thảm hoạ âm nhạc nó sẽ làm ngta từ 1 người mất hết tứ chi rồi mọc lại tay chân để tắt nhạc kể cả là mình là bộ xương sống dậy để tắt nhạc :skull:
6390,"Vào đọc cmt toàn thấy những mảnh đời nghiệt ngã vươn lên , đau ruột quá bây ơi :face_with_tears_of_joy:"
6391,Bạn có tài năng giấu nó đi nhé : )
6392,tharo ngan khen hay
6393,Đặt làm báo thức là hợp lí pk dậy tắt chớ đéo nghe nổi
6394,Tai tôi bị điếc 1 bên . Khi nghe bài này điếc nốt bên còn lại
6395,Ỉa chảy vãi cả lúa
6396,Phải tắt chặn quảng cáo vì nghe quảng cáo còn hay hơn nghe anh hát
6397,Phản cảm vkll
6398,Em mê bài này lắm ạ
6399,Lời hơi ấy thôi chứ nghe cũng được
6400,nghe nhiều hay mà ta
6401,cứ tưởng nhạc của jack là tệ nhất rồi :face_with_tears_of_joy:
6402,nếu cho tôi 1 sao thì tôi đánh nửa sao :face_with_tears_of_joy:
6403,Lấy bài này làm báo thức chắc chắn phải dậy để tắt nó đi
6404,Ừm . Nghe xong như người điếc thật . Đm nhỏ tôi ghét
6405,Phần nhạc tôi thấy không tệ . Chưa tới tầm mấy bài hot nhưng nghe vẫn ok .
6406,Nghe giải trí vui mà . ae sao cứ phải căng thẳng chê bai thế nhỉ )
6407,"Nghe nhiều cũng cuốn mà ae , chết cm tôi rồi , trong đầu giờ toàn anh hẹn em pickleball :face_with_tears_of_joy:"
6408,Cảm ơn vì đã mất chí và điếc
6409,Nhac nhu lon
6410,Qua Dang Cap
6411,pickleball cần có 1 giải grammy :skull:
6412,Một người bạn bị điếc của tôi đã thực sự nghe lài được sau khi nghe bài này :red_heart:
6413,moẹ cái mặt có đến nỗi đâu mà sao .
6414,Tôi nghiền rồi :face_with_tears_of_joy:
6415,Pickleball Đã Khiến Cả Lò Nhà tôi Điếc :crying_face:
6416,"anh Quí vô cùng đẹp trai , tạo nhạc nghe chỉ muốn hôn , hôn cái lày"
6417,đọc bình luận còn cuốn hơn nghe á trời
6418,không biết tại tai tôi bị loạn hay gì nhưng tôi thấy bài này nghe cũng bình thường mak đâu đến nỗi
6419,tưởng nghe nhạc phim sex :face_with_tears_of_joy: gợi tình vãi chưởng
6420,Tôi thấy nhạc này bình thường mà sao nhiều người bảo là thảm họa âm nhạc vậy nhỉ
6421,nếu bài này được phát vào năm 1965 thì đây mới là thảm họa nghe xong ngủm luôn : )
6422,nghe nhiều lần quá tự nhiên thấy nó hay .
6423,Kẻ phá hủy lyric Kẻ khiến người điếc khóc thét Kẻ làm người câm la lên hoảng hốt Kẻ làm người thực vật phải đứng dậy để tắt bài nhạc Kẻ lạm dụng từ pickleball Kẻ khiến diddy phải ra tù Kẻ tạo ra MV gì súc phạm người mù
6424,Thảm Họa = ) )
6425,Nhạc hay quá anh quí ơi :red_heart:
6426,Cảm ơn bài hát này của Quí bạn tôi đi đá bóng bị gãy chân phải ngồi xe lăn lết từ nhà tới trường 1 tuần nay . Cho đến khi tôi vô tình bật được bài này mà bạn tôi đã bật dậy để đập điện thoại của tôi tôi ngỡ ngàng khi từ một thằng thực vật đã trở nên có sức sống mạnh liệt . Cảm ơn Quí - thằng bị liệt chân chia sẻ -
6427,* _ ¥
6428,nghe xong bại não
6429,"Anh biết gì hong , bài này nghe dễ vậy dễ tắc thở á . Nếu nói Sơn Tùng là hoàng tử vậy - pop , quang hùng là con cưng đất Thái thì anh biết anh là gì không tên phú quí nhưng em chẳng thấy bài của anh không hề có giá trị :gem_stone: :gem_stone: :euro_banknote: :euro_banknote: :pound_banknote: :pound_banknote: :money_bag: :money_bag: :dollar_banknote:"
6430,Aa thằng tạo ra bài này đau đầu quá 10 video 4 đến 5 video hiện
6431,Cứu
6432,Chữa lành :cross_mark: Tra tấn lỗ tai :check_mark_button: Giúp người khuyết tật :check_mark_button:
6433,ê nghe hoài tự nhiên thấy nó hay
6434,Nghe riết lại thấy hay là sao :slightly_smiling_face:
6435,"bài hát này khiến tôi nhận ra 4 , 5đ toán kt 15p của tôi chx phải là thứ tệ nhất"
6436,Tự nhiên nghe xong pickleball cũng thấy thiên lý ơi hay
6437,Nếu như bài này mà có trong atsh thì tuộc trending youtube mẹ hết luôn :face_with_tears_of_joy: :face_with_tears_of_joy:
6438,làm ơn hãy xoá nó khỏi âm nhạc
6439,"Cảm ơn anh mà giúp bệnh viện chúng em cứu được 50ca thực vật và cụt , cương và điếc"
6440,giờ tôi đã bt cách để tạo ra 1 bản nhạc được mọi người bt đến đó là làm cho nó nguyền rủa nhất có thể :grinning_face_with_sweat:
6441,Bài này nên được áp dụng thành 1 hình thức tử hình đối với phạm nhân trên toàn thế giới
6442,Thôi nhạc ám ảnh lắm rồi
6443,"Ra bài này lấy hiệu ứng thôi , tựa tựa như case của Phí Phương Anh , bài debut cũng thiếu muối vãi cả lúa mà mấy bài sau ok !"
6444,Nhạc rất hay ghe cuốn trong ngoặc kép ghe như cc
6445,thằng ngu
6446,anh hẹn em pickeball ta vờn nhau pickeball :fire:
6447,làm nghệ sĩ mà ra sản phầm ntn mà coi được . không tôn trọng khản giả gì cả
6448,Thật sự khi mở bài này trên lớp thì các bạn của tôi đã bỏ chạy và một số người nghỉ học :crying_face: :crying_face:
6449,"cảm ơn phú quí vì hôm qua tôi chơi game vào buổi đêm thì tôi nghe tiếng động lạ dưới tầng , khi tôi chuẩn bị xuống tầng để kiểm tra thì đột nhiên mẹ tôi gọi mà tôi lại để nhạc chuông là bài hát này và thằng trộm ở dưới tầng chạy đi vì nó thấy bài nay cực "" hay "" , cảm ơn , cảm ơn rất NHIỀU"
6450,thick of it cũng phải gọi bằng bố ( thảm họa cho người nghe )
6451,"sự tra tấn cho những đứa đang ngủ vì phải dậy tắt nhạc em phải công nhận là anh có tài năng và khả năng dấu nghề cao thật , nên hãy dấu nó đi anh"
6452,bạn em điếc cũng đứng lên tắt
6453,Bài nhạc dở đến mức muốn nhập viện vì bị điếc tai và rồi từ thích nghe nhạc nghe bài này xong muốn trầm cảm luôn
6454,Tôi bật trong nhà tắm muỗi sợ trốn luôn không thấy nó :face_with_tears_of_joy:
6455,Bài này hay mà mọi người Có ai thấy hay như mình không ạ
6456,Nhạc qq :skull:
6457,Sucs pham nguoi nghe
6458,Tệ :face_vomiting:
6459,Cảm ơn anh Đỗ Phú Quí thay vì đập vợt em đập TV vì nghe bài này cảm ơn anh đã giúp nhà em có tv mới :red_heart:
6460,+ ( - 1 ) aura
6461,Hay phết đấy nhỉ :red_heart:
6462,Tôi cảm thấy nhạc là ma túy cho phép khi chưa xem clip này
6463,Đẳng cấp :face_with_tears_of_joy:
6464,nghe cứ s s ý
6465,"Còn nhớ những năm việt nam ta còn chìm trong khói bom , lửa đạn . Tôi cùng anh công phá vào chiến trận vượt qua bao lứa đạn , quả bom , quả mình chúng tôi đã cùng nhau , chúng kiến được những hình ảnh , những âm thanh thánh thót của chiến thắng âm thanh của cánh cổng bị sập xuống , rồi đến hình ảnh chiếc rẻ lau 3 sọc được vứt xuống , nhường chỗ lại cho lá cờ đỏ sao vàng . Thời khắc đó quả thực cực kì hùng vĩ . Nhưng rồi nhiều năm sau anh đã chuốc hơi thở cuối cùng , trước khi rã từ trần thế anh còn nói với thôi một câu mà tôi đã in dấu nó trong lòng suốt nhiều năm để rồi khi cơn tò mò lấn át sự kiên định trong lòng . Tôi đã nghe bài hát này , tôi đã bị ỉa chảy , ám ảnh , lạnh sóng lưng và mất đi vị giác trong nhiều ngày liên tục . Câu nói cuối cùng mà anh nói với tôi ngày hôm đó là : “ Đừng bao nghe bài picklebal của Đỗ Phú Quí dù chỉ một lần “ … . ."
6466,Thick of it của việt nam :skull:
6467,không bt đánh giá như nào vì nó nằm ngoài phạm trù gu thưởng thức âm nhạc của tôi Còn nói thẳng ra là nhạc như l * người
6468,Cringe ngang với Thick of it
6469,"Thật sự đây là một kiệt tác tuyệt phẩm , hoàn hảo và nó tuyệt vời đến nỗi hôm nay tôi đi đám ma của ông hàng xóm bật bài nhạc này lên ông hàng xóm bỗng sống dậy để tắt bài nhạc vì nó quá hay :red_heart:"
6470,"Đừng ghét bài này nữa , anh ấy đã giúp chúng ta vào quan tài khiến ai ai cũng phải dislike video :fire:"
6471,Gây :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: Gây :face_with_tears_of_joy: Gây :face_with_tears_of_joy: :face_with_tears_of_joy: Gây Gây :face_with_tears_of_joy: Gây :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: Gây
6472,- Pickleball -
6473,Đúng là thảm hoạ âm nhạc
6474,Tôi hiểu tại sao nó lại là bài hait thảm họa rồi
6475,bài này như kiểu bài duối vậy :smiling_face_with_hearts: :smiling_face_with_hearts: :smiling_face_with_halo:
6476,Tôi thấy hay mà làm gì tệ đến nỗi mà ai cũng chê ra ngoài tôi vẫn nghe nhiều người hát nghêu ngao bài này mà không hay người ta hát theo làm gì mọi người không thích nghe nhưng vẫn có 1 số người vẫn thích nghe đó thôi
6477,mọi người chê bài này còn hơn cả thick of it nữa :skull_and_crossbones:
6478,Nhạc như cuc
6479,dở tệ
6480,Nãy giờ không mắc ỉa nghe bài này xong cái phọt ra tất cả
6481,Đây là bài hát hay nhất trên đời mà tôi đã từng nghe
6482,Hay quá hay quá cho xuống tóc cuối luôn đi mẹ ơi tôi nghe bài tôi ám ảnh luôn á tôi nghe bài này không hư hết dám nghe bài này luôn bởi vì nó quá là kinh tởm
6483,"Tôi bị chỉ trích nấu sói trên mạng và khắp nơi , nhờ bài hát mà tôi điếc mẹ nó rồi nên không nghe được nx tưởng chừng chỉ như vậy nhưng tôi cho mọi người nghe cái điếc mẹ luôn và thế là cái trường tôi trở thành cái viện điều trị điếc cảm ơn tác giả !"
6484,Hát dỡ như chó
6485,Nhìn như thằng gay
6486,"Bài hát này thật kì diệu , tk bạn tôi bị điếc nhưng khi tôi bật bài này lên thì nó đứng dậy tắt luôn :star-struck: :star-struck:"
6487,Nhac này nghe hay rát cả đít ung lỗ tai
6488,"Nhạc rapdiz , nghe rát cả đít"
6489,Vâng tôi đang làm đám tang cho bạn tôi thì lỡ bật nhầm bài hát này và khi thằng bạn tôi nghe được thì nó đã bật dậy và tắt bài nhạc ( lí do mất của bạn tôi là sục nhiều quá nên hết trung tình và chet ) nó tên tâm ( tắng )
6490,Ôi tai tôi no không bị điếc sau khi nghe bài người rồi
6491,Nhạc hay nhất mọi thời đại
6492,Hay quá coi xong táo bón cái ỉa chảy ln :money-mouth_face:
6493,"Không ai nghĩ ổng sẽ ra 1 bài hát cực kì cháy như vậy , nên ổng không ra :disappointed_face:"
6494,100 ₫
6495,""" This song didn ' tôi released , it escaped """
6496,những ai không đến từ tiktok giơ tay :raised_hand: :raised_hand:
6497,Chắc quản lí bắt chạy deadline mà đang đánh pickleball
6498,Cảm ơn bạn của tôi hôn mê 2 năm rồi sau khi tôi mở nhạc thì bạn tôi đã tĩnh lại để tắt nó
6499,Bài này có thể làm một người đã ngỏm vài năm sống lại chỉ để tắt bài này
6500,bài hát của anh nghe chất lắm anh ( chất thải )
6501,Bạn đã bị pickleball :crying_face:
6502,"thử thách khó nhất là gì , là có thể tìm thấy cmt khen ca khúc này hay và có thẻ nghe đi nghe lại nhiều lần"
6503,đọc bình luận còn hay hơn bài hát
6504,Bài này dở tới mức mà tôi đang đau chân nhân vẫn ráng đứng dậy để tắt cái tivi chiếu bài này :skull:
6505,nghe bai nay chat kieu gì ik chat thai > _ <
6506,Giá như tòa tháp đôi bật bài hát này thì đã không có 9 / 11
6507,Nếu nó có beat khác lời khác flow khác nghệ sĩ khác thì nó sẽ đỡ hơn
6508,Bài hát này không dành cho con người nghe
6509,Bạn tôi đang chơi thì nghe bài này đã chạy về nhà và bay lên sao hoả
6510,Nghe sau bạn tôi từ thằng hôn mê 9 năm rồi đã tỉnh dậy và đập điện thoại đang bật nhạc cảm ơn tác giả .
6511,bai hay nhu lon
6512,"Cảm ơn , thằng bạn em nó bị liệt nghe xong nó dứng dậy và nó skibis nó đập cái loa và hết liệt"
6513,Bị loại sớm ở ATSH là đúng rồi
6514,"quá hay , tôi điếc tai giờ điếc hẳn luôn ( điếc hẳn không đùa )"
6515,sao mà mọi người ghét bài này vậy ạ ( ◔ ◡ ◔ ) ( ◔ ◡ ◔ )
6516,thử thách làm bật nhạc này làm BTVN xong mới đượi tắt
6517,nghe rất hay nếu bạn bị điếc
6518,"mang tiếng tham gia chương trinh truyền hình thực tế hot nhất nhì hiện nay mà ra dx 1 bài nhạc rác rưởi từ đầu đến cuối loại nam đéo ra nam nữ đéo ra nữ , bèo nhà bèo nhèo , chả khác chó gì 1 đống cứt"
6519,Dành cho gay xem
6520,Bài hát rất hay nên xứng đáng một like vì bài hát này đã cứu nhiều người bị liệt cảm ơn anh Quí và nhà sản xuất rất nhiều :bouquet: :tulip: :cherry_blossom:
6521,Nghe khắm vãi chưởng
6522,tôi sắp bị điếc khi nghe bài hát này nhưng tôi nhận ra tôi là anh chàng thư giãn :smiling_face_with_smiling_eyes:
6523,Khịa quá :face_with_tears_of_joy:
6524,Thế giới có thập đại cấm khúc thì cài này mới lấy top1
6525,Em rất cảm ơn anh Quí :smiling_face_with_hearts: Nhờ có bài hát này có thể giúp em thư giãn và học tập tốt để chuẩn bị kiểm tra thường xuyên . Đến khi kiểm tra xong thì điểm thấp thì em rất là vui . Cảm ơn anh rất nhiều :face_blowing_a_kiss: :broken_heart:
6526,thật ra anh quý cố tính tạo ra bài hát như này để nổi tiếng rồi sẽ tung ra bài hát còn hơn như này nữa :smiling_face_with_smiling_eyes:
6527,"thực sự cảm ơn tác giả của bài hát này , mình đang bị táo bón nặng và khi nghe xong mình ẻ rất mượt . Một lần nữa cảm ơn Đỗ Phú Quí đã tạo ra bài hát này"
6528,đi ăn cơm thằng em bật xong không muốn ăn luôn
6529,Hẹn Thiên Lý chơi pích kồ pôn = ) )
6530,Đang táo bón mà nghe bài này bao ẻ chảy : ) )
6531,Ủa nghe cũng bth mà sao toàn thấy cmt chê quá trời vậy nhở ?
6532,Hay
6533,Cứ sao sao chứ chả hay lắm . Góp ý thêm là ai sáng tác ra thì không s mà cho ôg này vào thì … không hợp lắm :melting_face:
6534,Bạn tôi bị điếc 3 năm nay rồi :crying_face: tôi bật bài này lên cái nó không biết cách nào làm như nghe được á cái nó đi tắt nhạc luôn :face_with_tears_of_joy:
6535,nhặc cư
6536,"Thấy trên mạng nên vào xem thử , thấy cũng bình thường mà , sao mọi người chê dữ vậy , hay tại tôi bất thường ? ?"
6537,Mình nghĩ rằng đây là phcach riêng của anh Quý ấy ạ ( dù hơi lạ ) :face_with_tears_of_joy:
6538,Anh rủ j97 chơi cùng đi
6539,bài này mẹ tôi nghe phát tôi ăn đập luôn nhưlon
6540,Mình thấy bài này cũng bth mà có gì đâu mà mọi người chê nhỉ ?
6541,Bài này người thực vật đã có thể tỉnh dậy được được để tắt bài hát ám ảnh này cảm ơn anh nhiều :red_heart:
6542,không dỡ bằng thiên lí ơi
6543,Ê hay mà
6544,"Bài này nghe rất dễ lun á mọi người dễ tắc thở . Từ người khuyết tật đã tự đứng lên đập điện thoại sau khi nghe bài hát này , UNESCO nên công nhận đây là bài hát thảm họa nhất lịch sử thế giới"
6545,Cảm ơn tôi đã giải tán đám đông nhanh nhất
6546,Thảm họa âm nhạc : )
6547,Thick of it gọi bằng cụ
6548,pickleball :shushing_face:
6549,Bạn tôi liệt giường tôi ms bạt nhạc này lên thì nó lấy lại ý thức bbaatj dậy tắt luôn :grinning_face_with_sweat:
6550,Như thằng ỉa mồm
6551,Thick Of It với . Pickleball
6552,:crying_face:
6553,Nhiều khi tôi khá ghen tị với người điếc
6554,Ai sáng tác bài này đấy : )
6555,bài hát này hay đến mức 1 đứa bị điếc và 1 đứa sống thực vật cũng có thể đứng dậy ném thứ đang phát nhạc này
6556,"vâng thực sự bạn tôi đã chế ra là "" anh hẹn nhau basketball "" chứ không phải pí cà bô nữa rồi :pensive_face:"
6557,Sao chê mà được 34 không like vậy mấy ní :face_with_tears_of_joy:
6558,"Tại sao ngta ghét bài này nhỉ , tôi thấy cũng khá catchy một cách nào đo"
6559,1 : 20 lưng ống bị ngù hả mọi người
6560,ĐỖ PHÚ CẶC
6561,Anh hát hay quá hãy đến nỗi mà giống nghề đi anh Chắc chắn đây là hình thức tra tấn gay cấn nhất
6562,Như thằng xăng pha nhớt
6563,thằng lol như qq
6564,Nhìn măth thằng loz mv hãm vãi cả lúa
6565,Cảm ơn anh bạn em bị chết lâm sàng sau khi em cho bạn em nghe bài này bạn em đã sống lại cảm ơn anh rất nhiều
6566,Moẹ thật là hào nhoáng ( Vô tri vãi cả lúa nhảm vãi )
6567,Bài hát không ra gì
6568,"Lời nhạc hay , giai điệu sống động là những gì mà "" Bài này không có "" :face_with_tears_of_joy:"
6569,3 phút thảm hoạ
6570,Cảm ơn nhờ bạn mà tôi ỉa chôi hẳn :party_popper:
6571,Cảm ơn anh em bật nhạc này cho thằng bạn người thực vật của em nó đứng bật dậy sau 12 năm người thực vật để tắt bài hát này :folded_hands:
6572,Cứ một tí lại lườm người ta thế hả
6573,Thấy Đỗ Phú Quý chẳng hát câu nào
6574,Bài hát tệ nhất tôi từng nghe
6575,remix mới hay
6576,Nếu Hitler nghe bài này thì rất có thể vũ khí mạnh nhất của đức không còn là xe tank nữa :face_with_tears_of_joy:
6577,Ê sao tôi thấy hay :thinking_face:
6578,cảm ơn pickleball đã giúp tôi hết bón
6579,"Nếu cái giai điệu nó khác , người khác hát , beat nó khác , basketball thay vì pickleball thì nó sẽ tốt hơn rồi"
6580,Tôi rất nể những người nghe hết bài nay tôi xem được 10s đã tắt đi :grinning_face_with_sweat:
6581,"Cảm ơn quí , sáng nào tôi cũng bùn ngủ không dậy được mà khi nghe bài này tôi đã kịp dậy trước báo thức để tắt nhạc : /"
6582,Thằng bạn tôi nó bị ung thư nằm trên giường nghe bài này nó đứng dậy tắt bài luôn
6583,Ê nghe nhiều cũng thấy hay :upside-down_face:
6584,hiếp dâm thị giác
6585,Gay sẽx
6586,tôi đã rất khó chịu khi nghe Nhx lời chửi của mẹ do tai quá thính nhưng nhờ bài hát này tôi đã hết như vậy vì tôi điếc luôn rồi
6587,bố thằng dở câu view bất chấp
6588,tôi có đứa bạn lúc nào cũng facebook đang ngủ nó cứ nhắn tin tinh tinh làm tôi không ngủ được từ lúc tôi mở nó nghe bài hát này thì no không còn dám on facebook và làm phiền tôi nữa cảm ơn tác giả ĐỔ PHÚ QUÍ mà bài hát nó ra sao vậy nghe được đoạn đầu thì tôi không nghe thấy gì nữa là sao vậy :thinking_face: :thinking_face:
6589,Hay quá ạ
6590,bạn tôi từ một người có khả năng nghe tốt nh khi nghe xong bài này xong thì đã bị dần có dấu hiệu bị điếc :smiling_face_with_tear: :smiling_face_with_tear: :upside-down_face:
6591,Anh này có tài năng tiềm ẩn ! Mong anh giấu nó mãi mãi :red_heart: :party_popper:
6592,nhu con cac
6593,Thảm họa thời nay
6594,vượt qua mức pickleball là như nào anh ? ?
6595,Bạn tôi mới mất hôm qua nhưng khi tôi cho nó nghe bài này thì nó đã ngồi dậy và tắt bài này đi xong nó die tiếp
6596,Sao trên toptop mọi người khen bài này quá vậy . Kiểu ý nghĩa cứ tởm sao ấy . Lạ nhất các ATSH lại pup cho bài này
6597,Mặc kệ chỉ trích vì anh ấy là một chàng trai thư giãn
6598,Sao mình thấy hay nhỉ xem riết ghiền
6599,:face_vomiting:
6600,Trời bài hay vãi ( bài như con cac xóa mẹ bài đi ) nghe phát muốn mất thính giác luôn
6601,Năm 1800 mà có bản nhạc này thì người da trắng sẽ không cần dùng roi da nữa
6602,Mấy người chơi pickleball nghe xong bài này chắc nghỉ chơi lun quá :face_with_tears_of_joy: :face_with_tears_of_joy:
6603,bài nx được đâu phải dở lắm đâu mà ae chê ghê quá
6604,"cảm ơn đỗ phú quí đã cứu tôi , một lần có một đám côn đồ doạ đánh tôi nên tôi mở bài hát này nhờ đó mà đám côn đồ sợ quá quỳ xuống khóc lóc xin tha . Cảm ơn đỗ phú quý rất nhiều"
6605,Tệ đến mức độ khi mọi người bật trong tsb sv việt nam thì các bạn sẽ có haki bá vương
6606,:skull_and_crossbones: :skull_and_crossbones: :skull_and_crossbones: :skull_and_crossbones: :skull_and_crossbones: :skull_and_crossbones:
6607,đóng tiền mạng để nghe mấy cái này á hả
6608,Tôi hay bị thằng bạn trêu mà nó thì trêu rất dai tôi thấy rất phiền định tẩn nhưng không bt phải làm như nào . thế là thật tình cờ có 1 đứa bật bài này lên tôi đã nghe và thấy rất khó chịu không hiểu sao cộng thêm sự bực tức có sẵn trog tôi quay ra vung cú đấm thẳng vô mặt nó làm nó chảy máu mũi . tôi bị thầy cô kỉ luật nhg từ đó thằng kia không còn trêu tôi nx . cảm ơn bài hát này đã giúp đỡ tôi . :smiling_face_with_smiling_eyes: :smiling_face_with_smiling_eyes:
